name,red,green,blue
Apple Braeburn,92.5305,108.0211,159.9495
Apple Braeburn,82.2292,86.2439,145.3926
Apple Braeburn,82.5229,86.4172,145.5333
Apple Braeburn,82.4812,86.5685,145.5226
Apple Braeburn,82.5853,86.632,145.7196
Apple Braeburn,82.7159,86.868,145.6835
Apple Braeburn,82.9008,86.9516,145.7965
Apple Braeburn,78.809,83.1846,143.1345
Apple Braeburn,79.2235,83.5197,143.5377
Apple Braeburn,78.9168,83.4122,143.1239
Apple Braeburn,79.2807,83.5226,143.2642
Apple Braeburn,95.919,108.2205,159.5884
Apple Braeburn,79.2806,83.6931,143.1513
Apple Braeburn,79.4632,83.7065,143.2106
Apple Braeburn,79.282,83.7935,142.933
Apple Braeburn,79.5014,83.8074,142.999
Apple Braeburn,79.3737,83.8173,142.7534
Apple Braeburn,83.5725,87.8003,145.3163
Apple Braeburn,83.2378,87.6745,144.9491
Apple Braeburn,83.1755,87.4339,144.7522
Apple Braeburn,82.9275,87.3327,144.4055
Apple Braeburn,82.8705,87.333,144.4861
Apple Braeburn,99.0509,110.8169,161.3962
Apple Braeburn,86.5674,91.0724,146.4126
Apple Braeburn,86.4081,90.6887,146.1911
Apple Braeburn,86.1851,90.5595,145.8193
Apple Braeburn,86.0215,90.238,145.6007
Apple Braeburn,85.8529,90.2662,145.3733
Apple Braeburn,85.8782,90.0964,145.2543
Apple Braeburn,85.6958,90.0864,145.0593
Apple Braeburn,85.8362,90.0606,145.0668
Apple Braeburn,85.5393,89.9189,144.6505
Apple Braeburn,85.7554,89.9617,144.797
Apple Braeburn,98.5887,110.2055,160.8381
Apple Braeburn,85.8242,90.1786,144.8014
Apple Braeburn,89.5436,93.8928,147.3012
Apple Braeburn,89.2309,93.7316,146.8244
Apple Braeburn,89.3659,93.6673,146.8451
Apple Braeburn,89.4994,93.9332,146.9866
Apple Braeburn,89.6226,93.8596,147.1041
Apple Braeburn,89.5653,93.9227,147.0177
Apple Braeburn,89.9019,94.1083,147.4053
Apple Braeburn,89.7074,94.0402,147.2847
Apple Braeburn,90.0144,94.1085,147.6067
Apple Braeburn,98.4481,109.6083,160.5301
Apple Braeburn,89.9635,94.2134,147.7185
Apple Braeburn,90.1812,94.3449,148.0521
Apple Braeburn,89.8879,94.1447,148.0064
Apple Braeburn,86.2407,90.7501,146.1984
Apple Braeburn,89.7742,94.2165,148.3815
Apple Braeburn,89.8325,94.136,148.6907
Apple Braeburn,89.8091,94.2542,149.0701
Apple Braeburn,89.907,94.3082,149.3912
Apple Braeburn,89.5475,94.0907,149.4603
Apple Braeburn,89.5111,94.0452,149.7297
Apple Braeburn,97.9815,109.0001,159.9338
Apple Braeburn,89.3534,94.1601,150.0879
Apple Braeburn,89.361,94.1629,150.44
Apple Braeburn,89.2491,94.1736,150.6939
Apple Braeburn,89.2504,94.2909,151.1103
Apple Braeburn,89.1269,94.4583,151.4557
Apple Braeburn,89.2516,94.7836,152.259
